idx,db_id,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text
1,13,risk,0.1233,0.3865,0.1372,1,1,2,1,2,2,0.2111,neutral,0.7916,0.4882794916629791,에너지 관리,E,에너지 소비 및 효율화,"미국 정부는 2026 2027년 바이오연료 사용량을 사상 최대 수준으로 확대하는 방안을 추진하고 있다. 환경보호청(EPA)은 바이오연료 사용 목표를 270억갤런으로 제시했고, 이는 2025년 대비 60% 증가한 규모다. 그러나 수요 확대에 따라 대두유와 팜유 수입 의존도가 커질 수 있어 열대우림 파괴와 이산화탄소 배출 증가 우려가 제기됐다. 전문가와 연구기관은 전 주기 평가와 공급망 관리 없이 시행될 경우 환경적 이익이 줄고 비용이 크게 늘 수 있다고 지적했다."
2,14,risk,0.1511,0.5636,0.1559,1,1,2,1,1,2,0.1679,neutral,0.8996,0.6265309453010559,에너지 관리,E,신재생에너지 전환,"LX인터내셔널과 PLN 인도네시아 파워는 재생에너지 개발 협력을 위한 업무협약을 체결하고, 현지 프로젝트 발굴과 점진적 사업화 가능성을 공동으로 검토하기로 했다. LX인터내셔널은 인도네시아에서 자원개발과 민자발전 사업 경험, 현지 네트워크를 바탕으로 신재생에너지 분야로의 사업 확장을 추진하고 있다. LX인터내셔널은 2월 인도네시아 정부로부터 하상 수력발전소의 탄소감축 실적 기반 탄소배출권 사업 승인을 받은 바 있다. 이에 따라 향후 관련 사업의 수익화 기반이 갖춰진 점이 함께 주목됐다."
3,15,risk,0.1571,0.6308,0.1213,1,1,1,1,1,2,0.1698,neutral,0.9095,0.6936001777648926,기후변화·온실가스,E,기후 거버넌스·인벤토리,정부는 EU 탄소국경조정제도와 ESG 공시 의무 강화에 대응해 기업의 온실가스 배출량 산정 역량 강화 정책을 추진하고 있다. 전력 배출계수 고도화와 전 과정목록 데이터베이스 구축이 포함됐다. 해당 데이터는 올해 하반기부터 매년 업데이트될 예정이다. 3월 26일 정책토론회를 통해 제도 보완과 기업 지원 방향 논의가 진행된다.
4,16,risk,0.1489,0.5835,0.1216,1,1,1,1,1,2,0.1703,neutral,0.9123,0.6395809650421143,에너지 관리,E,신재생에너지 전환,"LG전자 인도법인은 힌두자 리뉴어블스와 선슈어 에너지와 25년 재생에너지 전력구매계약(PPA)을 체결하고 지분 인수를 진행했다. 푸네 공장 27.7MWp, 노이다 공장 82.5MWp 규모 태양광 발전소에서 전력을 공급받는 구조다. 계약은 올해 2분기부터 가동될 예정이다. 인도 생산거점의 전력 공급망 안정화와 탄소중립 대응이 추진됐다."
5,17,opportunity,0.1648,0.6061,0.192,1,1,3,1,1,2,0.168,neutral,0.8998,0.6735566258430481,기후변화·온실가스,E,Scope 1·2 배출량,국립환경과학원은 CBAM 확정기에 대응하기 위해 기업이 현장에서 활용할 수 있는 배출량 산정 지침 고도화 작업에 착수했다. 적용 대상은 시멘트 비료 철강 알루미늄 수소 전력 6개 품목으로 직접 간접 배출량이 모두 포함된다. 정부는 기지불 탄소가격 산정 체계와 공동인정심사 체계를 구축해 이중 부담을 완화하는 방안을 추진하고 있다. EU 인증 절차 수용을 위한 국내 대응 체계 정비가 본격화된 상황이다.
6,18,opportunity,0.1323,0.506,0.1505,1,1,2,1,1,1,0.1158,neutral,0.8684,0.5827171802520752,윤리경영·준법,G,반부패 및 컴플라이언스,EY는 3월 공개한 조사에서 금융회사 25곳 중 70%가 지속가능성 공시 대응에 AI 활용 계획을 밝혔다. ESG 공시 기능이 전담 조직에서 재무 리스크 컴플라이언스 부서로 이동하며 내부통제 체계도 재무 기준 중심으로 재편되고 있다. 데이터 거버넌스 취약성과 규제 변화에도 불구하고 자동화 도입이 확대되는 흐름이다. 금융사들은 데이터 정확성과 소유권 요구에 대응하며 공시 체계를 고도화하고 있다.
7,19,opportunity,0.1323,0.506,0.1505,1,1,2,1,1,1,0.1158,neutral,0.8684,0.5827171802520752,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,EY는 3월 공개한 조사에서 금융회사 25곳 중 70%가 지속가능성 공시 대응에 AI 활용 계획을 밝혔다. ESG 공시 기능이 전담 조직에서 재무 리스크 컴플라이언스 부서로 이동하며 내부통제 체계도 재무 기준 중심으로 재편되고 있다. 데이터 거버넌스 취약성과 규제 변화에도 불구하고 자동화 도입이 확대되는 흐름이다. 금융사들은 데이터 정확성과 소유권 요구에 대응하며 공시 체계를 고도화하고 있다.
8,20,opportunity,0.1424,0.4504,0.2733,3,3,3,1,1,1,0.1051,neutral,0.7883,0.5713090300559998,기후변화·온실가스,E,기후 거버넌스·인벤토리,"탄소회계 플랫폼 그린리(Greenly)는 3월 9일 주요 플래그십 스마트폰의 생애주기 탄소배출 분석 보고서를 발표했다. 분석 결과 스마트폰 탄소배출의 약 80 85%가 제조 단계에서 발생했으며, 갤럭시 S25는 제조 단계 배출량 42.7kg CO e로 가장 낮았다. 반면 구글 픽셀10은 약 73.8kg으로 가장 높았고, 샤오미 14(47.2kg), 아이폰17 프로(51.2kg)가 뒤를 이었다. 재활용 소재 확대는 기기당 약 3.3kg CO e 수준 감축에 그쳐 전체 배출량의 약 5 6% 영향에 머무는 것으로 나타났다."
9,21,opportunity,0.1227,0.478,0.1203,1,1,1,1,1,1,0.1203,neutral,0.9023,0.5297881960868835,에너지 관리,E,에너지 소비 및 효율화,"SK엔무브는 하이브리드 차량용 윤활유 지크(ZIC) 를 중국 6개 완성차 브랜드에 공급했다. 제품은 BYD, 지리, 창안, 광저우자동차, 체리 등 주요 업체 차량에 적용됐다. 저온 시동성과 효율 개선이 주요 기술 요소로 제시됐다."
10,22,opportunity,0.128,0.5127,0.1179,1,1,1,1,1,1,0.1179,neutral,0.8841,0.5798788070678711,에너지 관리,E,에너지 소비 및 효율화,구글과 테슬라 등이 참여한 산업 연합 유틸라이즈 가 공식 출범했다. 해당 연합은 기존 전력망의 유휴 용량을 활용해 전력 수요 증가에 대응하는 방안을 제시했다. 미국 전력망 평균 가동률은 약 53% 수준으로 제시됐다. 버지니아주에서는 전력망 활용도 지표 도입 법안이 통과되며 정책 방향이 설비 확충에서 이용 효율 개선으로 전환되는 흐름이 나타났다.
