idx,db_id,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text
1,100,context,0.3239,0.5847,0.2266,1,3,2,1,,,,neutral,0.9996,0.5849359631538391,인적자원 관리,S,다양성 및 형평성 (DEI),"글로벌 지속가능성 기준기구(GSSB)는 다양성 포용성(GRI 405)과 비차별 기회 균등(GRI 406)을 중심으로 한 GRI 노동 기준 개정안을 공개하고, 9월 15일까지 의견 수렴을 시작했다. 이번 개정안은 국제노동기구(ILO) 핵심 협약을 반영해, GRI 405와 406 기준의 보고 범위를 확대하고 조직 전략 경영 책임까지 명시했다. 특히 직접적 간접적 차별, 소수집단 채용 기회 보장 여부 등을 구체적으로 공시하도록 요구했다. 개정안은 2026년 중반부터 단계적으로 적용될 예정이며, 인권 기반 접근법과 실사 기반 보고 원칙을 강화했다."
2,99,context,0.3634,0.5284,0.2131,3,1,1,1,,,,neutral,0.9988,0.5290705561637878,에너지 관리,E,신재생에너지 전환,"한국사회책임투자포럼(KoSIF)과 김현정 의원실이 발표한 2024 화석연료금융 백서에 따르면, 국내 금융기관의 화석연료 관련 금융자산 보유액은 총 173조7000억원에 달했다. 여기에 보험 자산까지 포함하면 372조3000억원에 이르며, 이 중 55조2000억원이 한전과 자회사에 집중돼 구조적 쏠림 현상이 지적됐다. 반면, 같은 해 신재생에너지 투자 대출은 24조원에도 미치지 못한 것으로 나타났다. 이는 정부의 석탄화력 폐쇄와 에너지 전환 목표와는 다른 자금 흐름이라는 비판이 제기되고 있다."
3,98,opportunity,0.4234,0.5908,0.3333,1,1,1,1,,,,positive,0.9999,0.5908228158950806,에너지 관리,E,신재생에너지 전환,"남동발전이 기아와 재생에너지 전력구매계약(PPA)을 체결해, 화성공장에 연간 1215MWh 규모의 태양광 전력을 직접 공급하고 있다. 이는 약 3200가구의 월간 전력 사용량에 해당하며, 전기차 1만5000대를 완충할 수 있는 수준이다. 공기업이 자가 설비에서 생산한 전력을 민간 기업에 직접 판매한 것은 국내 최초 사례다."
4,97,opportunity,0.4234,0.5908,0.3333,1,1,1,1,,,,positive,0.9999,0.5908228158950806,기후변화·온실가스,E,Scope 1·2 배출량,"남동발전이 기아와 재생에너지 전력구매계약(PPA)을 체결해, 화성공장에 연간 1215MWh 규모의 태양광 전력을 직접 공급하고 있다. 이는 약 3200가구의 월간 전력 사용량에 해당하며, 전기차 1만5000대를 완충할 수 있는 수준이다. 공기업이 자가 설비에서 생산한 전력을 민간 기업에 직접 판매한 것은 국내 최초 사례다."
5,96,opportunity,0.3859,0.4841,0.3331,1,1,1,1,,,,positive,0.9994,0.48439472913742065,에너지 관리,E,신재생에너지 전환,"OCI홀딩스의 미국 자회사인 OCI에너지가 텍사스주에 위치한 120MW 규모 태양광 발전소 프로젝트 페퍼 를 튀르키예 에너지기업 사반치 리뉴어블스에 매각했다. 이번 거래는 양사 간 첫 협력 사례이며, OCI 측은 추가 프로젝트 매각도 검토 중이라고 밝혔다. 최근 태양광 개발 사업의 성과가 본격화되면서 OCI의 수익성 확대와 북미 재생에너지 시장 공략이 본궤도에 오르고 있다."
6,95,context,0.2874,0.5279,0.1333,1,1,1,1,,,,neutral,0.9999,0.5279974341392517,에너지 관리,E,신재생에너지 전환,"정부가 울산을 후보지로 한 RE100 산업단지 조성에 속도를 내며 연내 가시화 목표를 설정했다. 산업통상자원부는 16일 관계부처 합동 태스크포스(TF)를 출범하고, 재생에너지 인프라 구축 및 기업 유치 전략을 논의했다. 회의 참석자들은 산단 개발, 정주 여건 조성 등 부처별 과제를 구체화하기로 했다. TF는 산업부 국토부 공동 주관으로 격주 정례회의를 이어가며 특별법 제정도 함께 추진할 계획이다."
7,94,context,0.2925,0.456,0.2659,3,3,1,1,,,,neutral,0.997,0.4574105143547058,에너지 관리,E,에너지 소비 및 효율화,"구글이 2025년 환경보고서를 통해 2024년 데이터센터 탄소배출을 전년 대비 12% 감축했다고 밝혔다. AI 확산과 에너지 수요 증가에도 불구하고 인프라 효율 개선과 청정에너지 사용 확대가 주요 원인으로 분석됐다. 그러나 스코프3(공급망) 배출 증가로 전체 탄소발자국은 오히려 증가한 것으로 나타났다. 데이터센터의 전력 수요는 같은 기간 27% 증가했으며, AI 서비스 확대와 직결된 공급망 배출 관리가 과제로 부각되고 있다."
8,93,context,0.2925,0.456,0.2659,3,3,1,1,,,,neutral,0.997,0.4574105143547058,기후변화·온실가스,E,Scope 3 배출량,"구글이 2025년 환경보고서를 통해 2024년 데이터센터 탄소배출을 전년 대비 12% 감축했다고 밝혔다. AI 확산과 에너지 수요 증가에도 불구하고 인프라 효율 개선과 청정에너지 사용 확대가 주요 원인으로 분석됐다. 그러나 스코프3(공급망) 배출 증가로 전체 탄소발자국은 오히려 증가한 것으로 나타났다. 데이터센터의 전력 수요는 같은 기간 27% 증가했으며, AI 서비스 확대와 직결된 공급망 배출 관리가 과제로 부각되고 있다."
9,92,context,0.2915,0.5054,0.2133,3,1,1,1,,,,neutral,0.9998,0.5054981708526611,에너지 관리,E,신재생에너지 전환,"안토니우 구테흐스 유엔 사무총장이 AI 데이터센터의 전력원을 2030년까지 전면 재생에너지로 전환해야 한다고 강조했다. 구테흐스 총장은 재생에너지 전환이 선택이 아닌 필수라며, 태양광 풍력 활용을 통해 지속가능한 미래를 열어야 한다고 발언했다. 일부 기업과 국가의 화석연료 의존이 여전하지만, 전환 흐름은 되돌릴 수 없다고 언급했다."
10,91,context,0.3505,0.6283,0.2132,3,1,1,1,,,,neutral,0.9996,0.6285409927368164,에너지 관리,E,신재생에너지 전환,"정부는 전기사업법 시행령 개정을 통해 재생에너지 발전사업자가 1MW 이하 설비로도 직접 PPA(전력구매계약)에 참여할 수 있도록 규제를 완화했다고 밝혔다. 해당 개정안은 7월 22일 국무회의를 통과했으며, 산업단지 내 중소 중견기업의 RE100 이행을 촉진할 수 있을 것으로 기대된다. 기존에는 발전 용량 1MW를 초과해야만 직접 PPA에 참여할 수 있었으나, 이번 개정으로 소규모 사업자의 시장 진입이 가능해졌다."
