idx,db_id,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text
1,502,risk,0.2116,0.2711,0.1796,1,1,1,1,1,1,0.1796,negative,0.5388,0.5031200051307678,에너지 관리,E,신재생에너지 전환,"또한 전력 수요 측 기업의 참여 부족도 구조적 한계로 지적됐다. 삼성전자, SK그룹, 현대자동차그룹 등 주요 기업들은 RE100 등 기후 목표를 보유하고 있음에도 정책 형성 과정에서는 직접 참여가 제한적이었다. 보고서는 이들 기업이 주로 경제단체를 통해 간접적으로 의견을 반영하는 구조가 재생에너지 확대에 대한 명확한 수요 신호를 약화시키고 있다고 분석했다."
2,503,risk,0.1993,0.2421,0.1762,1,1,1,1,1,1,0.1762,negative,0.5286,0.45799902081489563,에너지 관리,E,신재생에너지 전환,"여미영 녹색전환연구소 연구원은 불안한 국제 정세 속에서 재생에너지 전환은 에너지 안보와 기후위기 대응, 물가 안정을 동시에 달성할 수 있는 전략 이라며 에너지 위기의 해법은 가정의 지붕과 베란다에서 시작될 수 있다 고 말했다."
3,504,risk,0.2223,0.305,0.1778,1,1,1,1,1,1,0.1778,negative,0.5333,0.5719691514968872,에너지 관리,E,에너지 소비 및 효율화,특히 재택근무와 시차출퇴근 등 유연근무 활용은 인재 채용과 일 생활 균형뿐만 아니라 최근 중동 사태에 따른 고유가 등 위기 상황에서도 에너지 절감과 대중교통 이용 분산에 기여할 수 있는 제도로도 주목받고 있다.
4,505,risk,0.2453,0.2515,0.2337,1,1,2,1,1,2,0.2517,negative,0.5394,0.4661884009838104,에너지 관리,E,에너지 소비 및 효율화,이에 기업들도 대응에 나서고 있다. 아마존은 로이터에 사이트별 물 사용 데이터 공개를 확대하고 있으며 효율 개선과 에너지 공급 확대를 추진하고 있다. 또한 마이크로소프트는 환경 지속가능성을 핵심 가치로 두고 장기적 대응 방안을 마련하고 있다고 밝혔다.
5,506,risk,0.2615,0.3469,0.2483,1,3,1,1,1,1,0.1774,negative,0.5321,0.6519867777824402,에너지 관리,E,신재생에너지 전환,"이를 위해 정부는 태양광 보급을 위한 햇빛소득 마을, 산단 지붕형, 영농형, 수상형, 접경지역, 공공기관 재생에너지 100% 사용(RE100) 등 모든 수단을 총동원하기로 했다."
6,507,risk,0.2305,0.2567,0.2492,1,3,1,1,1,1,0.178,negative,0.5341,0.4807036519050598,에너지 관리,E,신재생에너지 전환,"- 산단 지붕형, 영농형, 수상형, 공공기관 RE100 등 모든 수단 동원"
7,508,risk,0.2244,0.3123,0.1771,1,1,1,1,1,1,0.1771,negative,0.5313,0.5878502130508423,에너지 관리,E,신재생에너지 전환,"영국 싱크탱크 엠버(EMBER)에 따르면 2022년 EU에서 풍력과 태양광 발전 비중은 22.3%로, 처음으로 가스 발전을 넘어섰다. 2025년에는 풍력과 태양광 발전 비중이 30%에 도달하며, 가스(17%) 석탄(9.2%) 기타 화석연료(2.8%)를 합친 화석연료 비중(29%)을 처음으로 추월했다. 이는 EU 전력 역사상 처음으로 재생에너지가 화석연료를 앞선 사례다. 에너지 믹스 전환이 본격화됐음을 보여주는 지표로 해석된다."
8,509,risk,0.3342,0.328,0.231,2,1,1,1,3,2,0.4619,negative,0.533,0.6153640151023865,에너지 관리,E,신재생에너지 전환,"태양광 1기가와트(GW)가 약 4조 원 상당의 LNG 수입 비용을 줄여준다는 분석도 있었다. 에너지경제금융분석연구소(IEEFA)는 1GW의 태양광 용량이 연간 16만 톤(MTPA)의 LNG 수요를 잠재적으로 대체해 현재 가격(3월 중순) 기준으로 연간 1억 2800만 달러, 태양광 발전소의 수명기간 동안 30억 달러(한화 약 4조 원) 이상의 LNG 수입 비용을 절감할 수 있을 것 이라고 추정했다."
9,510,risk,0.1848,0.1932,0.1803,1,1,1,1,1,1,0.1803,negative,0.541,0.3570607602596283,에너지 관리,E,신재생에너지 전환,"IEEFA에 따르면, 현재 이란과의 긴장 고조는 아시아 국가들의 거시경제 안정성을 흔들며 재생에너지 전환 필요성을 부각시키는 요인으로 작용하고 있다. 일본 한국 필리핀 등 석유 가스 순수입국들은 러시아 우크라이나 전쟁 발발 이후 미국 달러 대비 통화가치가 하락했다. 특히 이란 분쟁 발발 이후 첫 7일 동안 이들 국가는 2020년 이후 최대폭의 통화가치 하락, 즉 환율 상승을 경험한 것으로 나타났다."
10,511,risk,0.2085,0.2642,0.1785,1,1,1,1,1,1,0.1785,negative,0.5356,0.49327152967453003,에너지 관리,E,신재생에너지 전환,"다만 재생에너지 확대가 화석연료의 완전한 대체를 의미하지는 않는다. EU는 재생에너지 확대와 동시에 미국 노르웨이 등으로부터 가스 수입을 늘리고 LNG 인프라를 확충하는 등 공급망 다변화 정책도 병행했다. 이에 따라 중동 위기가 재생에너지 전환을 가속한다는 주장은 전반적으로 타당하지만, 복합적인 요인 속에서 작동하는 현상이라는 점에서 대체로 사실 로 평가된다."
