idx,db_id,iro,time_horizon,direction,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text
1,202,리스크_장기,장기,리스크,0.2491,0.321,0.2355,1,1,2,1,1,1,0.1811,negative,0.5434,0.5907766819000244,안전보건,S,사업장 안전보건 관리체계,"한국선급(KR)은 미국 휴스턴에서 열린 가스텍 2024에서 HD현대중공업과 위험성 평가를 통한 진보된 암모니아 연료 공급 시스템 개발 에 관한 업무협약을 17일 체결했다고 18일 밝혔다. HD현대중공업은 암모니아 운반선에 암모니아 연료를 적용하기 위한 주요 시스템 배치를 설계하고, KR은 암모니아 연료 공급 시스템에 대한 위험성 평가를 수행해 개념 승인(AIP)을 수여할 계획이다."
2,203,리스크_장기,장기,리스크,0.2347,0.3307,0.183,1,1,1,1,1,1,0.183,negative,0.549,0.6022871732711792,에너지 관리,E,신재생에너지 전환,프랑스의 거대 에너지기업 토탈에너지스(TotalEnergies)와 인도 최대 재생에너지 기업인 아다니 그린(Adani Green Energy Limited)이 합작회사를 설립했다. 로이터는 두 회사가 인도 구자라트주의 카브다에 위치한 태양광 합작회사 설립 계약을 체결했다고 보도했다. 합작회사는 최대 1575메가와트(MW) 규모의 태양광 발전 프로젝트를 구축하게 된다. 로이터는 이번 합작투자가 인도의 재생에너지 시장을 겨냥한 두 회사의 전략적 제휴를 강화하는 동시에 인도의 청정 에너지 목표 달성에 기여할 것이라고 보도했다.
3,204,리스크_단기,단기,리스크,0.218,0.2825,0.1832,1,1,1,1,1,1,0.1832,negative,0.5496,0.5139468908309937,기후변화·온실가스,E,Scope 3 배출량,"독일 연방환경청(UBA)은 석유기업들이 중국의 기후 프로젝트를 통해 생성한 탄소크레딧 21만5000톤을 인정하지 않겠다고 발표했다. 바이오연료 생산기업들이 1년 전 해당 프로젝트에 대해 그린워싱 문제를 지적했는데, 정부가 이를 받아들인 결과다. 문제가 된 프로젝트들은 바이오 연료보다 상대적으로 저렴한 업스트림 배출 감축(UER) 프로젝트라고 로이터 통신은 전했다."
4,205,리스크_단기,단기,리스크,0.2176,0.284,0.1819,1,1,1,1,1,1,0.1819,negative,0.5458,0.5203559994697571,인적자원 관리,S,다양성 및 형평성 (DEI),"정치가 ESG에 영향을 미치면서 기업 내 다양성, 포용성 이슈를 없애는 기업들이 늘었다. 로이터통신은 기업 성명서를 검토한 결과, JP 모건 체이스(JP Morgan Chase)를 포함한 최소 6개 주요 미국 기업이 2024년에 DEI 정책을 수정한 것으로 나타났다고 보도했다. 미국의 가정용품 소매업체 기업인 로우즈(Lowe s)는 회사 내부 문서를 통해, 더 이상 LGBTQ 권익 옹호 단체인 인권 캠페인(HRC)에 대한 설문 조사에 참여하지 않는다고 전했다. 할리 데이비슨(Harley-Davidson)은 성명을 통해, 데이비슨은 현재 DEI 기능 이 없으며 2024년 4월 이후로 그러한 프로그램을 운영하지 않았다고 말했다."
5,206,리스크_단기,단기,리스크,0.2208,0.225,0.1845,1,1,1,1,1,2,0.2583,negative,0.5536,0.40651625394821167,기후변화·온실가스,E,Scope 3 배출량,"인도네시아 정부가 니켈 투자를 촉진하는 데 역량을 집중했다. 자국 경제 성장을 촉진하기 위해 니켈 다운스트림 프로그램을 계속해서 장려한다는 방침이다. 에릭 토히르 인도네시아 국영기업부 장관은 자신의 인스타그램 계정을 통해, 인도네시아 자카르타에서 로산 로슬라니 인도네시아 투자부 장관 겸 투자조정위원회(BKPM) 위원장을 만나 인도네시아 니켈 투자와 니켈 다운스트림 개발에 대해 논의했다고 밝혔다."
6,207,리스크_장기,장기,리스크,0.2217,0.2959,0.1817,1,1,1,1,1,1,0.1817,negative,0.545,0.542996346950531,에너지 관리,E,신재생에너지 전환,"신성이엔지는 쌍용건설과 12MW 규모 태양광 모듈 공급 계약을 체결했다고 2일 밝혔다. 이번 계약은 단일 모듈 수출로는 최대 규모이며, 창사 이래 첫 수출 사례이다. 본격적인 해외시장 진출을 위한 첫걸음으로 평가됐다. 계약에 따라 신성이엔지는 오는 10월까지 12MW 규모 태양광 모듈을 쌍용건설에 공급한다. 쌍용건설은 해당 모듈을 중남미 아이티의 카라콜 산업단지에 구축되는 태양광 발전소 프로젝트에 사용하게 된다."
7,208,리스크_장기,장기,리스크,0.2922,0.3842,0.2935,1,1,3,1,1,1,0.1834,negative,0.5503,0.6981170773506165,기후변화·온실가스,E,Scope 3 배출량,총 외부 배출량을 의미하는 스코프 3(Scope 3) 관리 방안을 두고 논란이 확산됐다. 블룸버그는 과학기반 감축목표 이니셔티브(SBTi)가 발표한 탄소 상쇄 인정 정책이 결국 빅오일의 승리 이자 에너지 전환 실패로 이어질 것이라고 보도했다. SBTi가 당장 탄소 상쇄를 허용하지는 않을 것으로 보여졌다. 실제로 SBTi가 발표한 중간 보고서를 보면 다양한 종류의 탄소 상쇄권들이 의도된 기후위기 완화 효과성을 입증하지 못하고 있다 고 명시했다. SBTi는 올해 말 기업 넷제로 표준 개정안을 마련해 2025년에는 확정할 계획이다.
8,209,리스크_단기,단기,리스크,0.2336,0.2624,0.1841,1,1,1,1,1,2,0.2577,negative,0.5522,0.4751613140106201,에너지 관리,E,신재생에너지 전환,"김동연 경기지사가 임기 후반기 역점 정책으로 주 4.5일 근무제, 저소득층 노인 간병비 지원, 재생에너지 이익 공유제 등을 도입했다. 김 지사는 14일 열린 민선8기 후반기 중점과제 발표 기자 간담회 에서 중점과제로 기회 돌봄 기후 평화 등 4개 경제 분야의 신규 사업 구상을 발표했다. 기회 분야에서는 노동시간 단축과 저출생 대책으로 임금 삭감 없는 주 4.5일제 와 경력단절 없는 0.5 0.75잡 프로젝트를 내년에 시범사업으로 추진한다. 돌봄 분야에서는 경기도형 간병 SOS 프로젝트 를 시행한다. 기후위기 대응책으로는 RE100 펀드 조성, 기후위성 발사, 기후보험 가입 등을 추진한다."
9,210,리스크_단기,단기,리스크,0.3169,0.3108,0.1842,1,1,1,1,3,2,0.4788,negative,0.5525,0.5625430941581726,에너지 관리,E,신재생에너지 전환,"올해 초 인도 재벌 아다니 그룹이 재생에너지에 31조원을 투자한다고 발표했다. 아다니 그룹의 라이벌인 릴라이언스도 이에 질세라 분주하게 움직이고 있다. 로이터의 보도에 의하면, 릴라이언스가 인도 최대 재생에너지 프로젝트 개발업체가 되는 것을 목표로 한다. 2030년까지 100GW의 재생에너지 설비 구축을 목표로 하는 릴라이언스는 잠나가르에 있는 10GW 규모의 태양광 발전(PV) 기가팩토리에서 저가형 태양광 셀과 모듈을 만드는 데 사용되는 잉곳과 웨이퍼 생산을 시작할 예정이다."
10,211,리스크_장기,장기,리스크,0.1922,0.2166,0.179,1,1,1,1,1,1,0.179,negative,0.5369,0.40344637632369995,인적자원 관리,S,다양성 및 형평성 (DEI),"이어 폐기물 재활용(1.76점), 육아휴직(1.72점), 장애인 고용(1.62점), 사회공헌(1.24점) 순으로 나타났다."
