idx,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text,review_needed,review_reason
1,opportunity,0.5028,0.5511,0.5999,3,2,1,1,,,,positive,0.9998,0.5511603951454163,기후변화·온실가스,E,Scope 3 배출량,"한화솔루션의 태양광 자회사인 한화큐셀은 이번 투자는 미 태양광 에너지 산업 역사상 최대 규모이며, 단일 기업이 북미 지역에 태양광 핵심 밸류체인별 생산 라인을 모두 갖추는 첫 사례 라고 밝혔다. 태양광 산업 밸류체인은 원재료인 폴리실리콘과 잉곳, 웨이퍼를 만드는 업스트림(Upstream)과 태양광발전 시스템의 주요 구성품인 셀과 모듈을 만드는 미드스트림(Mid-stream), 그리고 발전사업의 다운스트림(Downstream) 으로 이루어진다.",TRUE,재무영향낮음(잠재규모1·가능성1)
2,context,0.2897,0.5862,0.13,1,1,1,1,,,,neutral,0.975,0.6012417078018188,인적자원 관리,S,다양성 및 형평성 (DEI),"코포리트 나이츠는 지속가능한 투자와 수익, 탄소 생산성, 인종과 성별 다양성 등 25가지 지표로 기업의 지속가능 등급을 매긴다. 핵심 비즈니스 모델에 지속가능한 해결책을 갖추고 있는지, 탄소 배출량 감축 노력과 투자를 제대로 하고 있는지를 중점적으로 따진다",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
3,context,0.3293,0.4799,0.3466,3,3,3,1,,,,neutral,0.9998,0.47996091842651367,에너지 관리,E,신재생에너지 전환,"확정안에 따르면 2030년 전체 발전량 중 원자력발전은 201.7테라와트로 가장 큰 비중(32.4%)을 차지하고 다음은 142.4테라와트의 액화천연가스(LNG) 발전(22.9%), 134.1테라와트의 신재생에너지 발전(21.6%) 순이다. 석탄 발전은 122.5테라와트(19.7%)로 낮아진다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
4,risk,0.4141,0.3776,0.5245,3,1,1,1,,,,negative,0.9835,0.3839462697505951,에너지 관리,E,신재생에너지 전환,"신재생에너지 부문은 지난해 1분기까지 6분기 연속 영업손실을 기록했지만, 2분기부터 소폭 흑자 전환에 성공한 데 이어 3분기에는 큰 폭의 영업이익을 냈다. 한화솔루션은 지난해 4분기에도 양호한 실적을 거둬 영업이익이 3230억원에 달할 것으로 증권가는 추정한다.",TRUE,재무영향낮음(잠재규모1·가능성1)
5,opportunity,0.3207,0.4719,0.2393,1,1,1,1,,,,positive,0.718,0.6572133898735046,에너지 관리,E,신재생에너지 전환,한국동서발전은 샤넬코리아와 기후변화 영향 완화 해결책 모색을 위한 업무협약을 체결했다고 13일 밝혔다. 이번 협약에 따라 한국동서발전은 샤넬코리아의 RE100 달성을 지원한다. RE100은 기업이 사용하는 전력 100%를 재생에너지로 대체하는 것이 목표인 국제적인 기업 협약 프로젝트다.,TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
6,context,0.3409,0.7265,0.1333,1,1,1,1,,,,neutral,0.9998,0.7266061305999756,이사회 구조,G,이사회 구성 및 독립성,"한편 글래스 루이스는 이사 선임과 관련해 상장사의 사내이사로 재직하면서 2개 이상 다른 상장사의 이사나 감사, 집행임원을 겸임한 후보자와 5개 이상의 상장사 이사회 구성원을 겸임한 후보자의 이사 선임에 반대 의결권 행사를 권고했다. 국내 상법은 이미 특정인의 상장회사 사외이사 선임을 2개 이내로 제한하고 있는데 여기에 이사회 멤버가 아닌 집행임원까지 포함해 적용하라는 권고인 것이다. 글래스 루이스는 다만 해외 기업을 포함한 5개 상장사의 이사 등을 겸임하는 경우에는 이사 선임에 찬성한다는 입장이다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
7,context,0.3247,0.6802,0.1333,1,1,1,1,,,,neutral,0.9999,0.6802626848220825,인적자원 관리,S,다양성 및 형평성 (DEI),ESG의 세부 분야별로는 환경(E)의 경우 온실가스 감축 실적 항목을 늘리고 사회(S)에서는 장애인 고용률 등의 비중을 높인다. 거버넌스(G)에서는 사외이사 격인 비상임이사의 활동내용 등 항목을 새로 만들었다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
8,context,0.2742,0.5388,0.1318,1,1,1,1,,,,neutral,0.9888,0.544908344745636,에너지 관리,E,신재생에너지 전환,RPS 대상 사업자의 의무공급비율을 상향조정하면 REC 매수를 놓고 RPS 사업자와 기업이 경쟁해 REC 가격이 상승할 수도 있다. RE100 가입 기업에는 불리한 여건이 조성될 수 있는 셈이다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
9,opportunity,0.4358,0.4279,0.5322,1,1,3,1,,,,positive,0.9978,0.42888498306274414,에너지 관리,E,에너지 소비 및 효율화,"현대로템은 승차 편의성과 에너지 절감을 중시하는 세계적 추세에 맞춰 지난해부터 영속도 회생제동 기술개발을 진행했으며 독일과 일본에 이어 이 기술을 상용화했다. 기존 전동차는 정차 때 저속에서 정확한 회생제동 제어가 어려워 제동패드를 압착시켜 정차시키는 공기제동을 사용해 왔다. 공기제동은 정차 때 마찰 소음이 발생하고, 감속도가 일정치 않아 정위치에 정차하지 못하는 경우가 있으며 제동패드가 마모되면서 터널 내 미세먼지가 발생하는 단점이 있다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
10,opportunity,0.4081,0.5624,0.325,1,1,1,1,,,,positive,0.9749,0.5768507122993469,에너지 관리,E,신재생에너지 전환,"KB증권은 재생에너지를 통한 비용절감 및 탄소발자국 줄이기 위한 ESG경영을 위해 KB증권 소유 건물인 경기도 용인시 연수원에 105kW, 울산광역시 남울산사옥에 10kW 용량의 태양광 발전설비를 준공했다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
